#Data tag : 22v1 , Norm tag: composite
+-------------+-------------------+------+----------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath              | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+----------------------+----------------+---------------+
| 273158:4915 | 05/11/16 20:43:22 | 1277 | HLT_Dimuon20_Jpsi_v2 | 0.053912518    | 0.050622092   |
| 273302:4919 | 05/13/16 02:13:38 | 459  | HLT_Dimuon20_Jpsi_v2 | 0.017147626    | 0.016450122   |
| 273402:4924 | 05/14/16 01:49:19 | 193  | HLT_Dimuon20_Jpsi_v2 | 0.007022182    | 0.006643308   |
| 273403:4924 | 05/14/16 03:05:27 | 53   | HLT_Dimuon20_Jpsi_v2 | 0.001935113    | 0.001837158   |
| 273404:4924 | 05/14/16 03:31:50 | 18   | HLT_Dimuon20_Jpsi_v2 | 0.000652558    | 0.000616225   |
| 273405:4924 | 05/14/16 03:42:33 | 24   | HLT_Dimuon20_Jpsi_v2 | 0.000867145    | 0.000806201   |
| 273406:4924 | 05/14/16 03:56:09 | 112  | HLT_Dimuon20_Jpsi_v2 | 0.003983422    | 0.003803281   |
| 273408:4924 | 05/14/16 04:52:04 | 6    | HLT_Dimuon20_Jpsi_v2 | 0.000210151    | 0.000181778   |
| 273409:4924 | 05/14/16 04:56:41 | 309  | HLT_Dimuon20_Jpsi_v2 | 0.010587762    | 0.009512812   |
| 273410:4924 | 05/14/16 06:59:49 | 90   | HLT_Dimuon20_Jpsi_v2 | 0.002996130    | 0.002753036   |
| 273411:4924 | 05/14/16 07:38:50 | 29   | HLT_Dimuon20_Jpsi_v2 | 0.000791341    | 0.000741045   |
| 273425:4925 | 05/14/16 11:17:57 | 671  | HLT_Dimuon20_Jpsi_v2 | 0.028337539    | 0.026943660   |
| 273446:4926 | 05/14/16 20:06:55 | 33   | HLT_Dimuon20_Jpsi_v2 | 0.002311590    | 0.002161349   |
| 273447:4926 | 05/14/16 20:26:09 | 411  | HLT_Dimuon20_Jpsi_v2 | 0.027460031    | 0.026143001   |
| 273448:4926 | 05/14/16 23:11:51 | 391  | HLT_Dimuon20_Jpsi_v2 | 0.024032201    | 0.022865029   |
| 273449:4926 | 05/15/16 01:50:28 | 208  | HLT_Dimuon20_Jpsi_v2 | 0.012046140    | 0.011498145   |
| 273450:4926 | 05/15/16 03:19:37 | 643  | HLT_Dimuon20_Jpsi_v2 | 0.033907779    | 0.032466917   |
| 273492:4930 | 05/16/16 09:07:35 | 265  | HLT_Dimuon20_Jpsi_v2 | 0.012780624    | 0.012234310   |
| 273493:4930 | 05/16/16 10:55:49 | 230  | HLT_Dimuon20_Jpsi_v2 | 0.010869088    | 0.010446199   |
| 273494:4930 | 05/16/16 12:28:40 | 192  | HLT_Dimuon20_Jpsi_v2 | 0.008782866    | 0.008498378   |
| 273502:4935 | 05/16/16 20:00:07 | 989  | HLT_Dimuon20_Jpsi_v2 | 0.049021420    | 0.047207129   |
| 273503:4935 | 05/17/16 02:31:25 | 598  | HLT_Dimuon20_Jpsi_v2 | 0.026370330    | 0.025558231   |
| 273554:4942 | 05/18/16 05:30:44 | 361  | HLT_Dimuon20_Jpsi_v2 | 0.028067089    | 0.026915316   |
| 273555:4942 | 05/18/16 07:55:51 | 173  | HLT_Dimuon20_Jpsi_v2 | 0.012672391    | 0.012263026   |
| 273725:4947 | 05/20/16 02:37:26 | 2462 | HLT_Dimuon20_Jpsi_v2 | 0.161336555    | 0.155963856   |
| 273728:4947 | 05/20/16 19:02:26 | 99   | HLT_Dimuon20_Jpsi_v2 | 0.005085244    | 0.004886301   |
| 273730:4947 | 05/20/16 19:47:48 | 2120 | HLT_Dimuon20_Jpsi_v2 | 0.089405184    | 0.087114764   |
| 274094:4953 | 05/27/16 02:21:04 | 225  | HLT_Dimuon20_Jpsi_v2 | 0.010213593    | 0.009827929   |
| 274146:4956 | 05/27/16 22:11:21 | 64   | HLT_Dimuon20_Jpsi_v2 | 0.005444073    | 0.005167528   |
| 274157:4958 | 05/28/16 11:50:04 | 426  | HLT_Dimuon20_Jpsi_v2 | 0.042474316    | 0.040320662   |
| 274159:4958 | 05/28/16 14:43:47 | 43   | HLT_Dimuon20_Jpsi_v2 | 0.004056289    | 0.003593492   |
| 274160:4958 | 05/28/16 15:02:52 | 207  | HLT_Dimuon20_Jpsi_v2 | 0.018956957    | 0.018178774   |
| 274161:4958 | 05/28/16 16:26:18 | 516  | HLT_Dimuon20_Jpsi_v2 | 0.044054574    | 0.042544990   |
| 274172:4960 | 05/29/16 00:45:19 | 65   | HLT_Dimuon20_Jpsi_v2 | 0.007141239    | 0.006331700   |
| 274198:4961 | 05/29/16 20:00:35 | 111  | HLT_Dimuon20_Jpsi_v2 | 0.013242251    | 0.012189941   |
| 274199:4961 | 05/29/16 20:45:19 | 623  | HLT_Dimuon20_Jpsi_v2 | 0.069389608    | 0.066646477   |
| 274200:4961 | 05/30/16 00:53:47 | 674  | HLT_Dimuon20_Jpsi_v2 | 0.065519821    | 0.063574858   |
| 274240:4964 | 05/30/16 13:59:19 | 81   | HLT_Dimuon20_Jpsi_v2 | 0.010503452    | 0.009915747   |
| 274241:4964 | 05/30/16 14:43:35 | 1166 | HLT_Dimuon20_Jpsi_v2 | 0.136182675    | 0.131592723   |
| 274244:4964 | 05/30/16 22:37:51 | 593  | HLT_Dimuon20_Jpsi_v2 | 0.058720570    | 0.056837861   |
| 274250:4965 | 05/31/16 05:55:54 | 700  | HLT_Dimuon20_Jpsi_v2 | 0.100943426    | 0.095532141   |
| 274251:4965 | 05/31/16 10:30:54 | 546  | HLT_Dimuon20_Jpsi_v2 | 0.067563471    | 0.065403835   |
| 274283:4976 | 06/01/16 03:25:26 | 18   | HLT_Dimuon20_Jpsi_v2 | 0.002910368    | 0.000350116   |
| 274284:4976 | 06/01/16 03:34:51 | 208  | HLT_Dimuon20_Jpsi_v2 | 0.031356521    | 0.029799871   |
| 274286:4976 | 06/01/16 05:04:18 | 154  | HLT_Dimuon20_Jpsi_v2 | 0.022531267    | 0.021565539   |
| 274314:4979 | 06/01/16 15:02:56 | 61   | HLT_Dimuon20_Jpsi_v2 | 0.011222628    | 0.010086863   |
| 274315:4979 | 06/01/16 15:32:32 | 423  | HLT_Dimuon20_Jpsi_v2 | 0.073639832    | 0.070045830   |
| 274316:4979 | 06/01/16 18:20:25 | 959  | HLT_Dimuon20_Jpsi_v2 | 0.141308713    | 0.136610404   |
| 274317:4979 | 06/02/16 00:39:53 | 3    | HLT_Dimuon20_Jpsi_v2 | 0.000402499    | 0.000314271   |
| 274319:4979 | 06/02/16 00:56:19 | 225  | HLT_Dimuon20_Jpsi_v2 | 0.029423353    | 0.028457824   |
| 274335:4980 | 06/02/16 09:10:43 | 944  | HLT_Dimuon20_Jpsi_v2 | 0.154761434    | 0.148181338   |
| 274336:4980 | 06/02/16 15:25:02 | 14   | HLT_Dimuon20_Jpsi_v2 | 0.002074851    | 0.001802284   |
| 274337:4980 | 06/02/16 15:33:18 | 15   | HLT_Dimuon20_Jpsi_v2 | 0.002211654    | 0.001841747   |
| 274338:4980 | 06/02/16 15:41:22 | 698  | HLT_Dimuon20_Jpsi_v2 | 0.095328772    | 0.089906792   |
| 274339:4980 | 06/02/16 20:15:40 | 84   | HLT_Dimuon20_Jpsi_v2 | 0.010605774    | 0.010171766   |
| 274344:4980 | 06/02/16 21:29:06 | 627  | HLT_Dimuon20_Jpsi_v2 | 0.072969488    | 0.070546472   |
| 274345:4980 | 06/03/16 01:37:46 | 170  | HLT_Dimuon20_Jpsi_v2 | 0.018443242    | 0.017880226   |
| 274382:4984 | 06/03/16 15:37:56 | 51   | HLT_Dimuon20_Jpsi_v2 | 0.008058245    | 0.007500508   |
| 274387:4985 | 06/03/16 19:10:09 | 352  | HLT_Dimuon20_Jpsi_v2 | 0.062379481    | 0.058817639   |
| 274388:4985 | 06/03/16 21:32:38 | 1820 | HLT_Dimuon20_Jpsi_v2 | 0.266131720    | 0.256527308   |
| 274420:4988 | 06/04/16 20:17:21 | 175  | HLT_Dimuon20_Jpsi_v2 | 0.029803978    | 0.028364154   |
| 274421:4988 | 06/04/16 21:28:04 | 342  | HLT_Dimuon20_Jpsi_v2 | 0.056720515    | 0.054434025   |
| 274422:4988 | 06/04/16 23:46:51 | 2207 | HLT_Dimuon20_Jpsi_v2 | 0.288627425    | 0.279871584   |
| 274440:4990 | 06/05/16 19:32:38 | 402  | HLT_Dimuon20_Jpsi_v2 | 0.066907429    | 0.064168997   |
| 274441:4990 | 06/05/16 22:13:06 | 431  | HLT_Dimuon20_Jpsi_v2 | 0.066719183    | 0.064548155   |
| 274442:4990 | 06/06/16 01:05:09 | 752  | HLT_Dimuon20_Jpsi_v2 | 0.103278232    | 0.099915777   |
| 274954:5005 | 06/11/16 09:40:51 | 20   | HLT_Dimuon20_Jpsi_v3 | 0.001170570    | 0.000974299   |
| 274955:5005 | 06/11/16 09:52:07 | 91   | HLT_Dimuon20_Jpsi_v3 | 0.005052663    | 0.004820249   |
| 274968:5013 | 06/11/16 22:51:22 | 1192 | HLT_Dimuon20_Jpsi_v3 | 0.204650612    | 0.195698191   |
| 274969:5013 | 06/12/16 06:41:54 | 1003 | HLT_Dimuon20_Jpsi_v3 | 0.137163748    | 0.127759847   |
| 274970:5013 | 06/12/16 13:12:54 | 47   | HLT_Dimuon20_Jpsi_v3 | 0.005763101    | 0.004336803   |
| 274971:5013 | 06/12/16 13:33:30 | 905  | HLT_Dimuon20_Jpsi_v3 | 0.101595307    | 0.098459293   |
| 274998:5017 | 06/13/16 04:19:54 | 718  | HLT_Dimuon20_Jpsi_v3 | 0.120549193    | 0.114126632   |
| 274999:5017 | 06/13/16 09:04:45 | 1241 | HLT_Dimuon20_Jpsi_v3 | 0.170122270    | 0.164254471   |
| 275000:5017 | 06/13/16 17:15:35 | 136  | HLT_Dimuon20_Jpsi_v3 | 0.016475493    | 0.015947691   |
| 275001:5017 | 06/13/16 18:12:42 | 2057 | HLT_Dimuon20_Jpsi_v3 | 0.204673305    | 0.199348168   |
| 275059:5020 | 06/14/16 16:49:52 | 37   | HLT_Dimuon20_Jpsi_v3 | 0.006808668    | 0.006173178   |
| 275066:5020 | 06/14/16 17:45:35 | 96   | HLT_Dimuon20_Jpsi_v3 | 0.019417983    | 0.018455627   |
| 275067:5020 | 06/14/16 18:28:40 | 392  | HLT_Dimuon20_Jpsi_v3 | 0.074336360    | 0.071620415   |
| 275068:5020 | 06/14/16 21:05:49 | 915  | HLT_Dimuon20_Jpsi_v3 | 0.148868179    | 0.143137052   |
| 275073:5020 | 06/15/16 03:32:47 | 517  | HLT_Dimuon20_Jpsi_v3 | 0.071014284    | 0.068508877   |
| 275074:5020 | 06/15/16 06:56:59 | 646  | HLT_Dimuon20_Jpsi_v3 | 0.078789564    | 0.076334143   |
| 275124:5021 | 06/15/16 17:50:26 | 325  | HLT_Dimuon20_Jpsi_v3 | 0.059338788    | 0.056673718   |
| 275125:5021 | 06/15/16 20:00:21 | 989  | HLT_Dimuon20_Jpsi_v3 | 0.157464292    | 0.150728669   |
| 275282:5024 | 06/17/16 00:06:15 | 90   | HLT_Dimuon20_Jpsi_v3 | 0.015723215    | 0.014901711   |
| 275283:5024 | 06/17/16 00:43:11 | 132  | HLT_Dimuon20_Jpsi_v3 | 0.023564069    | 0.022437984   |
| 275284:5024 | 06/17/16 01:36:53 | 74   | HLT_Dimuon20_Jpsi_v3 | 0.012930306    | 0.012449043   |
| 275290:5024 | 06/17/16 03:58:56 | 48   | HLT_Dimuon20_Jpsi_v3 | 0.007698960    | 0.002679610   |
| 275291:5024 | 06/17/16 04:28:35 | 347  | HLT_Dimuon20_Jpsi_v3 | 0.053435104    | 0.051726835   |
| 275292:5024 | 06/17/16 06:46:47 | 121  | HLT_Dimuon20_Jpsi_v3 | 0.016448089    | 0.015676583   |
| 275293:5024 | 06/17/16 07:37:27 | 200  | HLT_Dimuon20_Jpsi_v3 | 0.026019764    | 0.025137954   |
| 275309:5026 | 06/17/16 13:48:15 | 563  | HLT_Dimuon20_Jpsi_v3 | 0.085876528    | 0.082747896   |
| 275310:5026 | 06/17/16 17:32:53 | 1929 | HLT_Dimuon20_Jpsi_v3 | 0.230971065    | 0.223928386   |
| 275311:5026 | 06/18/16 06:07:07 | 1253 | HLT_Dimuon20_Jpsi_v3 | 0.110651647    | 0.108015050   |
| 275319:5027 | 06/18/16 18:56:15 | 142  | HLT_Dimuon20_Jpsi_v3 | 0.025981594    | 0.024647864   |
| 275337:5027 | 06/18/16 21:26:04 | 427  | HLT_Dimuon20_Jpsi_v3 | 0.071842637    | 0.068989273   |
| 275338:5027 | 06/19/16 00:15:37 | 520  | HLT_Dimuon20_Jpsi_v3 | 0.078279634    | 0.075749680   |
| 275344:5028 | 06/19/16 08:18:25 | 281  | HLT_Dimuon20_Jpsi_v3 | 0.052810943    | 0.050722207   |
| 275345:5028 | 06/19/16 10:12:11 | 353  | HLT_Dimuon20_Jpsi_v3 | 0.062652247    | 0.059911242   |
| 275370:5029 | 06/19/16 16:19:29 | 285  | HLT_Dimuon20_Jpsi_v3 | 0.054786438    | 0.052091600   |
| 275371:5029 | 06/19/16 18:16:49 | 564  | HLT_Dimuon20_Jpsi_v3 | 0.099249765    | 0.094980778   |
| 275375:5030 | 06/20/16 02:17:12 | 1323 | HLT_Dimuon20_Jpsi_v3 | 0.215484316    | 0.207472096   |
| 275376:5030 | 06/20/16 10:55:04 | 3095 | HLT_Dimuon20_Jpsi_v3 | 0.334713185    | 0.325942475   |
+-------------+-------------------+------+----------------------+----------------+---------------+
#Summary: 
+----------------------+-------+------+-------+-------------------+------------------+
| hltpath              | nfill | nrun | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+----------------------+-------+------+-------+-------------------+------------------+
| HLT_Dimuon20_Jpsi_v2 | 23    | 66   | 29591 | 2.904814939       | 2.786500815      |
| HLT_Dimuon20_Jpsi_v3 | 11    | 37   | 23074 | 3.162373886       | 3.037565593      |
+----------------------+-------+------+-------+-------------------+------------------+
#Sum delivered : 6.067188825
#Sum recorded : 5.824066408
#Check JSON:
#(run,ls) in json but not in results: []
