#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 278820:5199 | 08/14/16 11:00:51 | 1517 | 1517 | 0.301316069    | 0.289436862   |
| 278822:5199 | 08/14/16 21:52:47 | 1627 | 1627 | 0.199018810    | 0.192814295   |
| 278873:5205 | 08/15/16 23:25:45 | 60   | 60   | 0.011377665    | 0.002032904   |
| 278874:5205 | 08/15/16 23:51:53 | 477  | 477  | 0.087891892    | 0.082659432   |
| 278875:5205 | 08/16/16 03:01:20 | 833  | 833  | 0.121406046    | 0.116011101   |
| 278923:5206 | 08/16/16 12:16:32 | 413  | 413  | 0.104061633    | 0.099646041   |
| 278957:5209 | 08/16/16 21:31:36 | 149  | 149  | 0.038154004    | 0.036574296   |
| 278962:5210 | 08/17/16 01:08:31 | 341  | 341  | 0.082632824    | 0.076813045   |
| 278963:5210 | 08/17/16 03:24:57 | 174  | 174  | 0.038947004    | 0.037440157   |
| 278969:5211 | 08/17/16 07:16:52 | 1386 | 1386 | 0.298435342    | 0.285466323   |
| 278975:5211 | 08/17/16 16:23:16 | 848  | 848  | 0.126820421    | 0.121101529   |
| 278976:5211 | 08/17/16 21:58:16 | 20   | 20   | 0.002678462    | 0.002577860   |
| 278986:5213 | 08/18/16 04:02:59 | 129  | 129  | 0.034035976    | 0.031910669   |
| 279024:5219 | 08/18/16 22:31:53 | 301  | 301  | 0.052734374    | 0.050088376   |
| 279029:5219 | 08/19/16 02:19:40 | 260  | 260  | 0.040451141    | 0.038452135   |
| 279071:5222 | 08/19/16 15:40:07 | 174  | 174  | 0.023702023    | 0.022788491   |
| 279080:5223 | 08/19/16 22:42:50 | 157  | 157  | 0.013339325    | 0.012876333   |
| 279115:5229 | 08/20/16 22:08:09 | 407  | 407  | 0.088522114    | 0.085189739   |
| 279116:5229 | 08/21/16 01:36:03 | 448  | 448  | 0.095442823    | 0.091582776   |
| 279479:5247 | 08/25/16 04:33:24 | 105  | 105  | 0.006335007    | 0.005993889   |
| 279588:5251 | 08/25/16 21:08:11 | 1160 | 1160 | 0.239315562    | 0.230879394   |
| 279653:5253 | 08/26/16 14:05:52 | 181  | 181  | 0.045532341    | 0.043879144   |
| 279654:5253 | 08/26/16 15:21:58 | 1245 | 1245 | 0.250959288    | 0.242855226   |
| 279656:5253 | 08/26/16 23:49:40 | 43   | 43   | 0.006794934    | 0.005736806   |
| 279658:5253 | 08/27/16 01:35:19 | 712  | 712  | 0.096909138    | 0.094227310   |
| 279667:5254 | 08/27/16 09:08:23 | 966  | 966  | 0.218139226    | 0.210966708   |
| 279681:5256 | 08/27/16 21:57:02 | 28   | 28   | 0.007338151    | 0.006746151   |
| 279682:5256 | 08/27/16 22:11:02 | 33   | 33   | 0.008697553    | 0.007864511   |
| 279683:5256 | 08/27/16 22:32:16 | 26   | 26   | 0.006778242    | 0.006434360   |
| 279684:5256 | 08/27/16 22:46:58 | 22   | 22   | 0.005610400    | 0.005362302   |
| 279685:5256 | 08/27/16 23:07:12 | 208  | 208  | 0.050571510    | 0.048949065   |
| 279691:5257 | 08/28/16 03:41:26 | 43   | 43   | 0.010360994    | 0.009765373   |
| 279694:5257 | 08/28/16 04:03:09 | 2235 | 2235 | 0.422637127    | 0.410524768   |
| 279715:5258 | 08/28/16 22:01:34 | 577  | 577  | 0.134594200    | 0.129165228   |
| 279716:5258 | 08/29/16 02:17:06 | 1638 | 1638 | 0.265251087    | 0.258407241   |
| 279760:5261 | 08/29/16 20:21:24 | 655  | 655  | 0.160388262    | 0.155199085   |
| 279766:5261 | 08/30/16 01:08:36 | 1689 | 1689 | 0.278885486    | 0.270889643   |
| 279767:5261 | 08/30/16 12:08:03 | 776  | 776  | 0.092636863    | 0.090583908   |
| 279794:5264 | 08/30/16 23:41:02 | 1024 | 1024 | 0.232460796    | 0.225486947   |
| 279823:5265 | 08/31/16 10:00:39 | 335  | 335  | 0.085329204    | 0.082750019   |
| 279841:5266 | 08/31/16 15:23:17 | 2040 | 2040 | 0.396657811    | 0.384216979   |
| 279844:5267 | 09/01/16 07:21:16 | 224  | 224  | 0.059896668    | 0.057240986   |
| 279887:5270 | 09/01/16 23:20:52 | 316  | 316  | 0.077287506    | 0.074126575   |
| 279931:5274 | 09/02/16 11:37:39 | 2934 | 2934 | 0.494764667    | 0.479950450   |
| 279966:5275 | 09/03/16 09:20:25 | 363  | 363  | 0.098086749    | 0.094085114   |
| 279975:5276 | 09/03/16 14:45:09 | 1024 | 1024 | 0.250777578    | 0.241662520   |
| 279993:5277 | 09/04/16 00:23:27 | 72   | 72   | 0.019488138    | 0.018287474   |
| 279994:5277 | 09/04/16 00:56:48 | 47   | 47   | 0.013272830    | 0.012524964   |
| 280013:5277 | 09/04/16 03:35:47 | 25   | 25   | 0.005931986    | 0.005697175   |
| 280015:5277 | 09/04/16 03:55:19 | 572  | 572  | 0.120942443    | 0.116388172   |
| 280016:5277 | 09/04/16 07:42:16 | 149  | 149  | 0.027826513    | 0.026838406   |
| 280017:5277 | 09/04/16 08:45:47 | 608  | 608  | 0.101855771    | 0.098921384   |
| 280018:5277 | 09/04/16 12:47:05 | 1281 | 1281 | 0.164738745    | 0.160429977   |
| 280020:5277 | 09/04/16 21:15:15 | 45   | 45   | 0.004826981    | 0.004651996   |
| 280024:5277 | 09/04/16 21:47:39 | 427  | 427  | 0.042966907    | 0.042184958   |
| 280187:5279 | 09/05/16 20:24:23 | 56   | 56   | 0.014501693    | 0.013371071   |
| 280188:5279 | 09/05/16 20:50:25 | 245  | 245  | 0.064912961    | 0.062262210   |
| 280191:5279 | 09/05/16 22:40:17 | 897  | 897  | 0.187543339    | 0.180805055   |
| 280194:5279 | 09/06/16 05:36:21 | 238  | 238  | 0.038265302    | 0.037123022   |
| 280242:5282 | 09/06/16 15:43:40 | 625  | 625  | 0.155546140    | 0.149332061   |
| 280249:5282 | 09/06/16 19:52:07 | 1432 | 1432 | 0.249535339    | 0.241480183   |
| 280251:5282 | 09/07/16 05:14:58 | 371  | 371  | 0.048858039    | 0.047592501   |
| 280327:5287 | 09/08/16 08:23:13 | 37   | 37   | 0.009654748    | 0.008819256   |
| 280330:5287 | 09/08/16 08:46:53 | 857  | 857  | 0.194959846    | 0.187767451   |
| 280349:5287 | 09/08/16 14:27:22 | 620  | 620  | 0.108670894    | 0.105115018   |
| 280363:5287 | 09/08/16 18:47:24 | 359  | 359  | 0.052177641    | 0.050468859   |
| 280364:5287 | 09/08/16 21:09:57 | 1349 | 1349 | 0.162264839    | 0.156605510   |
| 280383:5288 | 09/09/16 08:41:13 | 2    | 2    | 0.000550823    | 0.000250884   |
| 280384:5288 | 09/09/16 08:49:12 | 33   | 33   | 0.008554254    | 0.007897892   |
| 280385:5288 | 09/09/16 09:11:36 | 2012 | 2012 | 0.382392841    | 0.368580819   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 32    | 70   | 42682 | 42682 | 7.944203312       | 7.652808366      |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
