#Data tag : 22v1 , Norm tag: composite
+-------------+-------------------+------+----------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath              | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+----------------------+----------------+---------------+
| 281613:5331 | 09/25/16 06:03:32 | 791  | HLT_Dimuon20_Jpsi_v6 | 0.011406932    | 0.009854510   |
| 281639:5338 | 09/26/16 07:45:13 | 132  | HLT_Dimuon20_Jpsi_v6 | 0.020460171    | 0.019206349   |
| 281641:5338 | 09/26/16 09:34:34 | 319  | HLT_Dimuon20_Jpsi_v6 | 0.041453982    | 0.039703345   |
| 281693:5339 | 09/26/16 16:57:00 | 2191 | HLT_Dimuon20_Jpsi_v6 | 0.392769988    | 0.379849392   |
| 281707:5340 | 09/27/16 09:47:29 | 950  | HLT_Dimuon20_Jpsi_v6 | 0.226233165    | 0.216904519   |
| 281726:5340 | 09/27/16 16:14:38 | 288  | HLT_Dimuon20_Jpsi_v6 | 0.051582678    | 0.049834009   |
| 281727:5340 | 09/27/16 18:10:03 | 1605 | HLT_Dimuon20_Jpsi_v6 | 0.209736412    | 0.203808379   |
| 281797:5345 | 09/28/16 12:04:48 | 2052 | HLT_Dimuon20_Jpsi_v6 | 0.416945918    | 0.401981324   |
| 281975:5351 | 09/30/16 03:23:12 | 215  | HLT_Dimuon20_Jpsi_v6 | 0.059112937    | 0.054587501   |
| 281976:5351 | 09/30/16 04:48:03 | 2166 | HLT_Dimuon20_Jpsi_v6 | 0.356897527    | 0.343304198   |
| 282033:5352 | 09/30/16 21:30:43 | 36   | HLT_Dimuon20_Jpsi_v6 | 0.009057363    | 0.008351862   |
| 282034:5352 | 09/30/16 21:48:05 | 33   | HLT_Dimuon20_Jpsi_v6 | 0.009442516    | 0.008733301   |
| 282035:5352 | 09/30/16 22:03:01 | 40   | HLT_Dimuon20_Jpsi_v6 | 0.011061058    | 0.009514642   |
| 282037:5352 | 09/30/16 22:24:14 | 1861 | HLT_Dimuon20_Jpsi_v6 | 0.348879789    | 0.334747246   |
| 282092:5355 | 10/02/16 13:49:37 | 1784 | HLT_Dimuon20_Jpsi_v6 | 0.309686033    | 0.299676595   |
| 282708:5391 | 10/09/16 08:39:30 | 8    | HLT_Dimuon20_Jpsi_v6 | 0.002529322    | 0.002144558   |
| 282710:5391 | 10/09/16 08:49:08 | 3    | HLT_Dimuon20_Jpsi_v6 | 0.000887642    | 0.000350704   |
| 282712:5391 | 10/09/16 09:00:13 | 60   | HLT_Dimuon20_Jpsi_v6 | 0.017728020    | 0.016882292   |
