#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 317080:6737 | 05/28/18 20:40:32 | 26   | 26   | 0.008321786    | 0.007844260   |
| 317087:6738 | 05/28/18 23:14:11 | 704  | 704  | 0.240334277    | 0.231929995   |
| 317089:6738 | 05/29/18 04:46:51 | 999  | 999  | 0.220225722    | 0.212904926   |
| 317182:6741 | 05/30/18 09:15:46 | 1364 | 1364 | 0.417562604    | 0.403235233   |
| 317212:6744 | 05/31/18 02:42:17 | 139  | 139  | 0.053920410    | 0.051172376   |
| 317213:6744 | 05/31/18 03:40:05 | 366  | 366  | 0.127237421    | 0.122590604   |
| 317279:6747 | 05/31/18 17:11:10 | 466  | 466  | 0.068311783    | 0.065891594   |
| 317291:6749 | 06/01/18 02:53:28 | 788  | 788  | 0.282293665    | 0.273689991   |
| 317292:6749 | 06/01/18 08:08:05 | 318  | 318  | 0.084437071    | 0.081863474   |
| 317297:6749 | 06/01/18 11:34:35 | 682  | 682  | 0.124447606    | 0.120892513   |
| 317319:6751 | 06/01/18 19:42:33 | 135  | 135  | 0.055409724    | 0.052200043   |
| 317320:6751 | 06/01/18 20:37:54 | 1717 | 1717 | 0.453590951    | 0.438366118   |
| 317338:6752 | 06/02/18 10:48:26 | 37   | 37   | 0.014130850    | 0.012895190   |
| 317339:6752 | 06/02/18 11:06:14 | 148  | 148  | 0.061875926    | 0.059959064   |
| 317340:6752 | 06/02/18 12:17:48 | 409  | 409  | 0.144393814    | 0.137601516   |
| 317382:6755 | 06/03/18 16:34:21 | 70   | 70   | 0.027360617    | 0.024139434   |
| 317383:6755 | 06/03/18 17:05:19 | 58   | 58   | 0.023899464    | 0.022451239   |
| 317391:6757 | 06/04/18 03:21:59 | 8    | 8    | 0.003496514    | 0.002717287   |
| 317392:6757 | 06/04/18 03:27:44 | 1882 | 1882 | 0.501919510    | 0.487291958   |
| 317435:6759 | 06/05/18 00:15:36 | 1396 | 1396 | 0.374089255    | 0.360612921   |
| 317438:6759 | 06/05/18 09:20:20 | 289  | 289  | 0.049124957    | 0.047152486   |
| 317475:6761 | 06/05/18 18:13:47 | 68   | 68   | 0.027077537    | 0.025761150   |
| 317478:6761 | 06/05/18 18:47:21 | 23   | 23   | 0.008476414    | 0.007937242   |
| 317484:6761 | 06/05/18 19:51:18 | 523  | 523  | 0.165745170    | 0.160355997   |
| 317488:6761 | 06/05/18 23:26:30 | 840  | 840  | 0.185866855    | 0.180103590   |
| 317527:6763 | 06/06/18 22:52:12 | 1447 | 1447 | 0.466677521    | 0.452099029   |
| 317591:6768 | 06/08/18 07:07:54 | 287  | 287  | 0.113525321    | 0.109429082   |
| 317626:6770 | 06/08/18 20:45:30 | 1996 | 1996 | 0.543319100    | 0.526038708   |
| 317640:6772 | 06/09/18 13:47:48 | 763  | 763  | 0.260171519    | 0.251532495   |
| 317641:6772 | 06/09/18 19:02:09 | 1323 | 1323 | 0.263186138    | 0.255412439   |
| 317648:6773 | 06/10/18 06:27:56 | 92   | 92   | 0.036313827    | 0.033881916   |
| 317649:6773 | 06/10/18 07:08:12 | 588  | 588  | 0.189853749    | 0.183413183   |
| 317650:6773 | 06/10/18 11:10:27 | 1304 | 1304 | 0.264311478    | 0.255996426   |
| 317661:6774 | 06/10/18 21:56:59 | 1208 | 1208 | 0.383205730    | 0.371635155   |
| 317663:6774 | 06/11/18 06:27:15 | 839  | 839  | 0.154270772    | 0.150390666   |
| 317683:6776 | 06/11/18 16:18:33 | 319  | 319  | 0.122199749    | 0.117685350   |
| 317696:6778 | 06/12/18 00:00:42 | 637  | 637  | 0.234520416    | 0.225505813   |
| 318733:6850 | 06/26/18 22:28:18 | 33   | 33   | 0.002986044    | 0.002792197   |
| 318828:6858 | 06/28/18 06:30:24 | 70   | 70   | 0.013680177    | 0.013229261   |
| 318872:6860 | 06/28/18 15:50:31 | 271  | 271  | 0.094887217    | 0.091854514   |
| 318874:6860 | 06/28/18 17:39:38 | 308  | 308  | 0.100343848    | 0.097011682   |
| 318876:6860 | 06/28/18 19:45:23 | 157  | 157  | 0.047823385    | 0.045698129   |
| 318877:6860 | 06/28/18 20:49:22 | 607  | 607  | 0.162860680    | 0.158393693   |
| 319077:6874 | 07/01/18 23:27:46 | 41   | 41   | 0.016847099    | 0.016371875   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 24    | 44   | 25745 | 25745 | 7.194533673       | 6.949931815      |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
