#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 319337:6901 | 07/08/18 02:05:51 | 2193 | 2193 | 0.237348102    | 0.232388818   |
| 319347:6904 | 07/08/18 19:53:18 | 650  | 650  | 0.228713373    | 0.210514462   |
| 319348:6904 | 07/09/18 00:07:18 | 37   | 37   | 0.010960648    | 0.005006475   |
| 319349:6904 | 07/09/18 00:23:34 | 148  | 148  | 0.041965227    | 0.040843828   |
| 319449:6909 | 07/09/18 20:59:32 | 695  | 695  | 0.258525096    | 0.249173726   |
| 319450:6909 | 07/10/18 01:32:44 | 681  | 681  | 0.212504803    | 0.207045612   |
| 319456:6909 | 07/10/18 07:08:40 | 207  | 207  | 0.053518557    | 0.052015625   |
| 319459:6909 | 07/10/18 08:32:35 | 78   | 78   | 0.017641441    | 0.017212101   |
| 319486:6911 | 07/11/18 09:10:21 | 66   | 66   | 0.021061388    | 0.020314797   |
| 319503:6911 | 07/11/18 17:30:46 | 317  | 317  | 0.094813078    | 0.090959188   |
| 319524:6912 | 07/11/18 22:27:29 | 1424 | 1424 | 0.470771755    | 0.456701499   |
| 319526:6912 | 07/12/18 08:14:19 | 282  | 282  | 0.071759686    | 0.069659575   |
| 319528:6912 | 07/12/18 10:12:58 | 254  | 254  | 0.059799445    | 0.058410906   |
| 319579:6919 | 07/13/18 04:43:17 | 3125 | 3125 | 0.841924158    | 0.817733142   |
| 319625:6921 | 07/14/18 14:05:51 | 190  | 190  | 0.072958182    | 0.070596043   |
| 319639:6923 | 07/14/18 18:52:13 | 1473 | 1473 | 0.422276857    | 0.408537239   |
| 319656:6924 | 07/15/18 07:26:01 | 254  | 254  | 0.090586416    | 0.086471826   |
| 319657:6924 | 07/15/18 09:09:07 | 167  | 167  | 0.053752827    | 0.051824096   |
| 319658:6924 | 07/15/18 10:17:14 | 221  | 221  | 0.063644440    | 0.061716393   |
| 319659:6924 | 07/15/18 11:50:26 | 87   | 87   | 0.022608350    | 0.021787667   |
| 319678:6925 | 07/15/18 15:20:13 | 259  | 259  | 0.099052349    | 0.095424824   |
| 319687:6927 | 07/15/18 22:28:04 | 45   | 45   | 0.016486816    | 0.016052913   |
| 319697:6929 | 07/16/18 02:17:40 | 436  | 436  | 0.062719981    | 0.060561287   |
| 319698:6929 | 07/16/18 05:13:10 | 312  | 312  | 0.037203705    | 0.036295265   |
| 319756:6931 | 07/16/18 15:39:04 | 1923 | 1923 | 0.507084360    | 0.490204543   |
| 319840:6939 | 07/17/18 22:27:53 | 348  | 348  | 0.051262088    | 0.049718970   |
| 319841:6939 | 07/18/18 00:44:33 | 167  | 167  | 0.020840269    | 0.020280330   |
| 319847:6940 | 07/18/18 04:02:30 | 3    | 3    | 0.001330127    | 0.000903537   |
| 319848:6940 | 07/18/18 04:04:45 | 53   | 53   | 0.019928545    | 0.019081513   |
| 319849:6940 | 07/18/18 04:28:02 | 489  | 489  | 0.179264800    | 0.173552091   |
| 319851:6940 | 07/18/18 07:46:30 | 4    | 4    | 0.001250205    | 0.001137038   |
| 319853:6940 | 07/18/18 08:01:32 | 256  | 256  | 0.073307576    | 0.071203488   |
| 319854:6940 | 07/18/18 09:44:34 | 225  | 225  | 0.055235129    | 0.053716327   |
| 319908:6942 | 07/19/18 02:40:13 | 51   | 51   | 0.019578670    | 0.018295828   |
| 319909:6942 | 07/19/18 03:03:13 | 6    | 6    | 0.002326527    | 0.001120242   |
| 319910:6942 | 07/19/18 03:09:20 | 983  | 983  | 0.315473757    | 0.304865167   |
| 319912:6942 | 07/19/18 09:34:18 | 59   | 59   | 0.014171175    | 0.013437223   |
| 319913:6942 | 07/19/18 09:59:24 | 56   | 56   | 0.013018604    | 0.012566235   |
| 319914:6942 | 07/19/18 10:22:49 | 32   | 32   | 0.007252517    | 0.006879860   |
| 319915:6942 | 07/19/18 10:37:23 | 416  | 416  | 0.088940054    | 0.086802323   |
| 319941:6944 | 07/19/18 19:59:35 | 255  | 255  | 0.098650397    | 0.094417188   |
| 319942:6944 | 07/19/18 21:41:30 | 50   | 50   | 0.017942823    | 0.017468906   |
| 319950:6946 | 07/20/18 02:45:30 | 168  | 168  | 0.067839945    | 0.065935971   |
| 319991:6953 | 07/20/18 15:48:51 | 836  | 836  | 0.292123865    | 0.281714860   |
| 319992:6953 | 07/20/18 21:15:39 | 262  | 262  | 0.067833495    | 0.065586502   |
| 319993:6953 | 07/20/18 23:01:06 | 955  | 955  | 0.187746874    | 0.182675815   |
| 320002:6956 | 07/21/18 08:17:32 | 141  | 141  | 0.052523216    | 0.050203468   |
| 320006:6956 | 07/21/18 09:46:32 | 340  | 340  | 0.117879419    | 0.114140140   |
| 320010:6956 | 07/21/18 14:27:42 | 330  | 330  | 0.076664085    | 0.074676692   |
| 320011:6956 | 07/21/18 16:38:02 | 302  | 302  | 0.063113218    | 0.061138036   |
| 320012:6956 | 07/21/18 18:38:20 | 99   | 99   | 0.018711964    | 0.018060690   |
| 320023:6957 | 07/21/18 21:33:03 | 276  | 276  | 0.103950025    | 0.098834607   |
| 320024:6957 | 07/21/18 23:21:36 | 409  | 409  | 0.130155390    | 0.126440979   |
| 320025:6957 | 07/22/18 02:03:20 | 112  | 112  | 0.030947834    | 0.030113234   |
| 320026:6957 | 07/22/18 02:49:54 | 204  | 204  | 0.051564606    | 0.050085703   |
| 320038:6960 | 07/22/18 07:09:04 | 619  | 619  | 0.226789956    | 0.218712390   |
| 320039:6960 | 07/22/18 11:13:45 | 28   | 28   | 0.008538561    | 0.008200272   |
| 320040:6960 | 07/22/18 11:29:06 | 737  | 737  | 0.183359086    | 0.177428533   |
| 320059:6961 | 07/22/18 18:43:23 | 103  | 103  | 0.042809744    | 0.040908654   |
| 320060:6961 | 07/22/18 19:27:05 | 42   | 42   | 0.016524473    | 0.015725006   |
| 320061:6961 | 07/22/18 19:46:28 | 49   | 49   | 0.019093724    | 0.018270053   |
| 320062:6961 | 07/22/18 20:06:50 | 21   | 21   | 0.008000755    | 0.006956471   |
| 320063:6961 | 07/22/18 20:17:40 | 62   | 62   | 0.022963134    | 0.022166104   |
| 320064:6961 | 07/22/18 20:48:07 | 198  | 198  | 0.067731958    | 0.064855495   |
| 320065:6961 | 07/22/18 22:09:30 | 917  | 917  | 0.234250801    | 0.227086186   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
