#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 320673:7005 | 08/01/18 02:33:01 | 742  | 742  | 0.056034469    | 0.054906805   |
| 320674:7005 | 08/01/18 08:11:46 | 533  | 533  | 0.030476098    | 0.029975262   |
| 320688:7006 | 08/01/18 15:24:06 | 469  | 469  | 0.131057134    | 0.126694609   |
| 320712:7008 | 08/02/18 02:45:01 | 204  | 204  | 0.071961247    | 0.069579800   |
| 320757:7013 | 08/02/18 14:37:56 | 328  | 328  | 0.119385132    | 0.115218088   |
| 320804:7017 | 08/03/18 07:27:51 | 1182 | 1182 | 0.316019107    | 0.305234291   |
| 320807:7017 | 08/03/18 15:28:46 | 2    | 2    | 0.000377819    | 0.000348394   |
| 320809:7017 | 08/03/18 15:43:13 | 716  | 716  | 0.109016947    | 0.106230704   |
| 320821:7018 | 08/03/18 23:57:32 | 181  | 181  | 0.062971560    | 0.060432928   |
| 320822:7018 | 08/04/18 01:09:16 | 508  | 508  | 0.150728468    | 0.145874523   |
| 320823:7018 | 08/04/18 04:34:31 | 360  | 360  | 0.082833311    | 0.080025310   |
| 320824:7018 | 08/04/18 06:55:49 | 990  | 990  | 0.160160778    | 0.155991733   |
| 320838:7020 | 08/04/18 17:31:12 | 263  | 263  | 0.096206200    | 0.092366066   |
| 320840:7020 | 08/04/18 19:20:14 | 453  | 453  | 0.141672069    | 0.136272335   |
| 320841:7020 | 08/04/18 22:26:03 | 204  | 204  | 0.052100537    | 0.050239817   |
| 320853:7024 | 08/05/18 06:48:20 | 327  | 327  | 0.121669789    | 0.118065454   |
| 320854:7024 | 08/05/18 08:59:06 | 121  | 121  | 0.040092022    | 0.038678162   |
| 320855:7024 | 08/05/18 09:50:43 | 416  | 416  | 0.112651620    | 0.108357004   |
| 320856:7024 | 08/05/18 13:36:28 | 136  | 136  | 0.029562288    | 0.028625636   |
| 320857:7024 | 08/05/18 14:39:57 | 272  | 272  | 0.054740449    | 0.052859822   |
| 320858:7024 | 08/05/18 16:27:33 | 230  | 230  | 0.039032500    | 0.037521088   |
| 320859:7024 | 08/05/18 18:00:16 | 40   | 40   | 0.005145820    | 0.004926672   |
| 320887:7026 | 08/05/18 22:38:34 | 272  | 272  | 0.107453276    | 0.104361547   |
| 320888:7026 | 08/06/18 00:26:10 | 26   | 26   | 0.009764263    | 0.009500190   |
| 320916:7031 | 08/06/18 09:12:39 | 24   | 24   | 0.007336221    | 0.006635005   |
| 320917:7031 | 08/06/18 09:25:17 | 941  | 941  | 0.246164245    | 0.238337883   |
| 320920:7031 | 08/06/18 21:56:15 | 178  | 178  | 0.024669249    | 0.024013428   |
| 320933:7033 | 08/07/18 03:29:36 | 171  | 171  | 0.054125592    | 0.051965819   |
| 320934:7033 | 08/07/18 04:38:31 | 824  | 824  | 0.216999585    | 0.210460582   |
| 320936:7033 | 08/07/18 10:01:22 | 250  | 250  | 0.051361040    | 0.050055365   |
| 320941:7033 | 08/07/18 12:41:38 | 34   | 34   | 0.005728122    | 0.005597031   |
| 320980:7035 | 08/07/18 15:52:40 | 18   | 18   | 0.004953907    | 0.004816486   |
| 320995:7036 | 08/07/18 19:28:55 | 54   | 54   | 0.008174850    | 0.007793827   |
| 320996:7036 | 08/07/18 20:42:30 | 150  | 150  | 0.020186641    | 0.019430630   |
| 321004:7037 | 08/08/18 01:47:42 | 125  | 125  | 0.042196119    | 0.040617924   |
| 321005:7037 | 08/08/18 02:48:15 | 32   | 32   | 0.011265176    | 0.010919992   |
| 321006:7037 | 08/08/18 03:15:27 | 76   | 76   | 0.025165687    | 0.024199280   |
| 321007:7037 | 08/08/18 04:22:39 | 739  | 739  | 0.182795112    | 0.177500207   |
| 321009:7037 | 08/08/18 09:43:25 | 77   | 77   | 0.015125928    | 0.014732928   |
| 321010:7037 | 08/08/18 10:16:22 | 340  | 340  | 0.059403962    | 0.057206632   |
| 321011:7037 | 08/08/18 12:32:48 | 209  | 209  | 0.031247675    | 0.028948830   |
| 321012:7037 | 08/08/18 13:58:30 | 46   | 46   | 0.005253617    | 0.004974448   |
| 321051:7039 | 08/09/18 03:17:54 | 1085 | 1085 | 0.318555696    | 0.307060392   |
| 321055:7039 | 08/09/18 10:35:36 | 730  | 730  | 0.128411458    | 0.125495500   |
| 321067:7040 | 08/09/18 18:21:44 | 587  | 587  | 0.177811811    | 0.171766048   |
| 321068:7040 | 08/09/18 22:16:40 | 705  | 705  | 0.151087956    | 0.147136741   |
| 321069:7040 | 08/10/18 02:54:15 | 312  | 312  | 0.051156263    | 0.049411516   |
| 321119:7042 | 08/10/18 15:12:52 | 161  | 161  | 0.059493289    | 0.056212611   |
| 321121:7042 | 08/10/18 16:22:06 | 43   | 43   | 0.015898378    | 0.015122270   |
| 321122:7042 | 08/10/18 16:42:10 | 385  | 385  | 0.125162266    | 0.120346156   |
| 321124:7042 | 08/10/18 19:20:25 | 807  | 807  | 0.190464128    | 0.183904274   |
| 321126:7042 | 08/11/18 01:03:45 | 454  | 454  | 0.074973948    | 0.072574256   |
